receiver_player_name,catch_pct,targets,receptions,pass_touchdown_mean,air_yards_max,air_yards_min,avg_airyds,air_yards_std,yards_after_catch_max,yards_after_catch_min,average_yac,yards_after_catch_std,explosive_yac_pct,mid_yac_pct,short_yac_pct,shortyac_std,screen_pct,screen_std,shortrt_pct,intermediatert_pct,deeprt_pct,deepshots_mean,deepshots_std
J.Cook,0.6615384615384615,65,43.0,0.20930232558139536,26.0,0.0,10.488372093023257,6.363482473581869,45.0,-2.0,5.906976744186046,9.27057288384512,0.06976744186046512,0.13953488372093023,0.7906976744186046,0.41162509149327114,0.0,0.0,0.5581395348837209,0.37209302325581395,0.06976744186046512,0.0,0.0
J.Crowder,0.639344262295082,122,78.0,0.07692307692307693,24.0,-3.0,6.089743589743589,6.386239056287298,21.0,0.0,4.589743589743589,4.553964727421013,0.01282051282051282,0.16666666666666666,0.8205128205128205,0.38624363966821407,0.1282051282051282,0.3364819656684637,0.6025641025641025,0.2692307692307692,0.01282051282051282,0.0,0.0
J.Doyle,0.589041095890411,73,43.0,0.09302325581395349,18.0,-5.0,5.395348837209302,5.4516905848147825,20.0,-1.0,5.023255813953488,5.129227046999165,0.0,0.18604651162790697,0.813953488372093,0.39374961547907883,0.11627906976744186,0.3243530062242882,0.6976744186046512,0.18604651162790697,0.0,0.0,0.0
J.Edelman,0.6535947712418301,153,100.0,0.06,34.0,-4.0,7.97,6.656742613487639,27.0,-10.0,3.2,5.1717960852565295,0.02,0.06,0.92,0.27265992434429076,0.09,0.2876234912646613,0.64,0.31,0.04,0.0,0.0
J.Gordon,0.574468085106383,47,27.0,0.037037037037037035,53.0,-3.0,10.518518518518519,13.276266766650151,23.0,0.0,5.2592592592592595,6.105436370674358,0.037037037037037035,0.18518518518518517,0.7777777777777778,0.4236592728681616,0.1111111111111111,0.32025630761017426,0.6296296296296297,0.14814814814814814,0.18518518518518517,0.07407407407407407,0.26688025634181184
J.Graham,0.6714285714285714,70,47.0,0.0851063829787234,21.0,-3.0,5.957446808510638,7.135208009546777,32.0,0.0,6.723404255319149,6.886351111973074,0.0425531914893617,0.19148936170212766,0.7659574468085106,0.42797632794384316,0.19148936170212766,0.3977271225536437,0.574468085106383,0.19148936170212766,0.0425531914893617,0.0,0.0
J.Hill,0.673469387755102,49,33.0,0.09090909090909091,16.0,-6.0,1.696969696969697,5.046563487196314,26.0,0.0,7.2727272727272725,7.094331924469383,0.06060606060606061,0.30303030303030304,0.6363636363636364,0.48850421045919723,0.3939393939393939,0.49619766344887317,0.5454545454545454,0.09090909090909091,0.0,0.0,0.0
J.Hollister,0.6949152542372882,59,41.0,0.07317073170731707,16.0,-4.0,4.390243902439025,4.9642625272062695,14.0,-1.0,4.121951219512195,3.9445856686806757,0.0,0.12195121951219512,0.8780487804878049,0.3312945782245396,0.17073170731707318,0.38094875143451024,0.7073170731707317,0.14634146341463414,0.0,0.0,0.0
J.Jones,0.6265822784810127,158,99.0,0.06060606060606061,47.0,-3.0,10.353535353535353,8.627569870104404,55.0,-2.0,3.727272727272727,7.267228904849021,0.030303030303030304,0.0707070707070707,0.898989898989899,0.30287565627206586,0.04040404040404041,0.19790700347467463,0.5151515151515151,0.42424242424242425,0.08080808080808081,0.010101010101010102,0.10050378152592121
J.Landry,0.6014492753623188,138,83.0,0.07228915662650602,39.0,-7.0,8.891566265060241,9.117140180883062,58.0,-3.0,5.253012048192771,8.617683709921321,0.03614457831325301,0.10843373493975904,0.8554216867469879,0.3538130318051739,0.12048192771084337,0.32750313204407316,0.46987951807228917,0.3493975903614458,0.0963855421686747,0.0,0.0
J.McKissic,0.7906976744186046,43,34.0,0.029411764705882353,16.0,-6.0,-0.11764705882352941,4.597527042004297,22.0,-2.0,6.970588235294118,5.5294544315113425,0.029411764705882353,0.20588235294117646,0.7647058823529411,0.4305615452020462,0.4411764705882353,0.5039947372613783,0.5294117647058824,0.029411764705882353,0.0,0.0,0.0
J.Mixon,0.7777777777777778,45,35.0,0.08571428571428572,6.0,-6.0,-1.2571428571428571,3.5673590259697816,37.0,0.0,9.457142857142857,9.169459722177674,0.11428571428571428,0.3142857142857143,0.5714285714285714,0.5020964452534339,0.5714285714285714,0.5020964452534338,0.42857142857142855,0.0,0.0,0.0,0.0
J.Reynolds,0.4883720930232558,43,21.0,0.047619047619047616,29.0,-4.0,8.904761904761905,9.054859258457649,32.0,0.0,6.619047619047619,8.108490552970945,0.09523809523809523,0.047619047619047616,0.8571428571428571,0.35856858280031806,0.14285714285714285,0.35856858280031806,0.47619047619047616,0.2857142857142857,0.09523809523809523,0.0,0.0
